,country,population,article_name,revision_id,article_quality
29,Afghanistan,32247000,Khairullah Anosh,718052714,Stub
30,Afghanistan,32247000,Abdul Baqi Turkistani,718250607,Stub
31,Afghanistan,32247000,Zabih-U-llah Ghazi Noristani,718362010,Start
32,Afghanistan,32247000,Hasan Ali Sultani,718362588,Stub
33,Afghanistan,32247000,Ghulam Faroq Nijrabi,718364221,Stub
34,Afghanistan,32247000,Sahib Rahman,718382045,Stub
35,Afghanistan,32247000,Gul Haar Jalal,718383950,Stub
36,Afghanistan,32247000,Sahira Sharif,718384584,Start
37,Afghanistan,32247000,Toorpekai,718384771,Stub
38,Afghanistan,32247000,Baktash Siawash,718882885,Stub
39,Afghanistan,32247000,Mohammed Tahir Omar,718933282,Stub
40,Afghanistan,32247000,Abdul Malik Hamwar,720125764,Stub
41,Afghanistan,32247000,Syed Gulam Farooq Mirranay,720408323,Start
42,Afghanistan,32247000,Abdul Bagi Baryal,720586068,Stub
43,Afghanistan,32247000,Nasruddin Mohseni,721524808,Start
44,Afghanistan,32247000,Ahmad Khan Samangani,721999414,Start
45,Afghanistan,32247000,Awtar Singh,722198152,Stub
46,Afghanistan,32247000,Alhaj Mutalib Baig,722893996,Stub
47,Afghanistan,32247000,Al-Haj Suliman Yari,723481980,Stub
48,Afghanistan,32247000,Mohammad Ghous Bashiri,723709911,Start
49,Afghanistan,32247000,Zalmai Mojadidi,724355183,Start
50,Afghanistan,32247000,Sayed Jalal,726625715,Start
51,Afghanistan,32247000,List of rulers of Afghanistan,727899635,Stub
52,Afghanistan,32247000,Fariba Ahmadi Kakar,728644481,Stub
53,Afghanistan,32247000,Sultan Jan,729099380,Stub
54,Afghanistan,32247000,Majah Ha Adrif,729386082,Start
55,Afghanistan,32247000,Mohammad Gul (Helmand Council),730949872,Stub
56,Afghanistan,32247000,Ahmad Shah Khan Asakzai,731353196,Stub
57,Afghanistan,32247000,Kashmir Khan,731397902,Start
58,Afghanistan,32247000,Haroon al-Afghani,731512019,C
59,Afghanistan,32247000,Nematullah Shahrani,737761144,Stub
60,Afghanistan,32247000,Abdul Hadi Arghandiwal,739136660,Stub
61,Afghanistan,32247000,Abdul Hafiz Mansoor,739695950,Stub
62,Afghanistan,32247000,Mohammad Daud Sultanzoy,741518574,Start
63,Afghanistan,32247000,Abdul Qayum Wardak,742229423,Stub
64,Afghanistan,32247000,Abdullah Khan Tarzi,742237237,Start
65,Afghanistan,32247000,Mohammad Aman,745190115,Start
66,Afghanistan,32247000,Qutbuddin Hilal,746242701,Start
67,Afghanistan,32247000,Zabihullah (Balkh),747783201,Stub
68,Afghanistan,32247000,Razaq Mamoon,748084336,Start
69,Afghanistan,32247000,Sayed Nasim Mihanparast,748224926,Stub
70,Afghanistan,32247000,Said Mohammad Ali Jawid,748594441,Stub
71,Afghanistan,32247000,Azizullah Lodin,748841875,Stub
72,Afghanistan,32247000,Mirwais Sadiq,749355761,Stub
73,Afghanistan,32247000,List of governors of Jowzjan,749593657,Stub
74,Afghanistan,32247000,Ghulam Dastagir Azad,749952986,Stub
75,Afghanistan,32247000,Mohammad Omar (Afghan governor),750347412,Start
76,Afghanistan,32247000,Atiqullah Ludin,750535372,Start
77,Afghanistan,32247000,Hamidullah Qalandarzai,750544170,Start
78,Afghanistan,32247000,Mohammad Iqbal Azizi,750549549,Stub
79,Afghanistan,32247000,Hakim Taniwal,750561890,Start
80,Afghanistan,32247000,Abdul Ghani Ghani,751150581,Stub
81,Afghanistan,32247000,Amin Karim,751299201,Start
82,Afghanistan,32247000,Pacha Gul Wafadar,751959879,Stub
83,Afghanistan,32247000,Ghulam Qawis Abubaker,752026068,Stub
84,Afghanistan,32247000,Sayed Ahmad Haqbeen,752332885,Stub
85,Afghanistan,32247000,Abdul Sattar Murad,753124044,Stub
86,Afghanistan,32247000,Hanifa Safi,754262111,Stub
87,Afghanistan,32247000,Sardar Mohammad Nadir Naeem,755110536,Stub
88,Afghanistan,32247000,Burhanullah Shinwari,755254358,Stub
89,Afghanistan,32247000,Nasrullah Baryalai Arsalai,755339031,C
90,Afghanistan,32247000,Rafiullah Bidar,755351182,Stub
91,Afghanistan,32247000,Sayed Mohammad Gulabzoy,756609530,Start
92,Afghanistan,32247000,Habibullah Qaderi,757538650,Stub
93,Afghanistan,32247000,Lutfullah Mashal,757800105,Start
94,Afghanistan,32247000,Template:Presidents of Afghanistan,758302567,Stub
95,Afghanistan,32247000,Massouda Jalal,759405630,Start
96,Afghanistan,32247000,Davood Moradian,759449241,Stub
97,Afghanistan,32247000,Ghulam Mohammad Rigi,759489824,Stub
98,Afghanistan,32247000,Shafiqa Habibi,759778743,C
99,Afghanistan,32247000,Ghulam Mohammad Ghobar,761685512,Stub
100,Afghanistan,32247000,List of ambassadors of Afghanistan,762527227,Stub
101,Afghanistan,32247000,Sayed Mustafa Kazemi,763083773,Stub
102,Afghanistan,32247000,Tayyab Agha,763438364,Stub
103,Afghanistan,32247000,Abdul Wahed Sorabi,764743041,Stub
104,Afghanistan,32247000,Mohammad Ghous,765965877,Stub
105,Afghanistan,32247000,Ahmad Wali Massoud,766167980,Stub
106,Afghanistan,32247000,Jan Baz,766272734,Stub
107,Afghanistan,32247000,Mohammad Nasim Faqiri,766309040,Start
108,Afghanistan,32247000,Cheragh Ali Cheragh,767150678,Start
109,Afghanistan,32247000,Saber Sangar,767427725,Stub
110,Afghanistan,32247000,Ravan A. G. Farhâdi,768137506,C
111,Afghanistan,32247000,Faizullah Kakar,769025347,C
112,Afghanistan,32247000,Faramarz Tamanna,769061187,C
113,Afghanistan,32247000,Sohaila Sharifi,770239277,Stub
114,Afghanistan,32247000,Enayatullah Nazari,770448889,Stub
115,Afghanistan,32247000,Mohammad Ishaq Aloko,770905450,Start
116,Afghanistan,32247000,Mohammad Hashim Khan,771055245,Stub
117,Afghanistan,32247000,Sultan Hamid Sultan,772765313,Stub
118,Afghanistan,32247000,Hajji Muhammad Arif Zarif,772804054,Stub
119,Afghanistan,32247000,Sayed Zafar Hashemi,774179658,Stub
120,Afghanistan,32247000,Anarkali Kaur Honaryar,774499188,Stub
121,Afghanistan,32247000,Ismail Qasim Yar,775523762,Stub
122,Afghanistan,32247000,Sima Samar,775966269,C
123,Afghanistan,32247000,Mohammed Rafie,776933374,Stub
124,Afghanistan,32247000,Habibullah Jan,777525023,Stub
125,Afghanistan,32247000,Mohammad Sarwar Ahmadzai,777625464,Start
126,Afghanistan,32247000,Abdul Malik Anwar,777874646,Stub
127,Afghanistan,32247000,Husn Banu Ghazanfar,778690357,Start
128,Afghanistan,32247000,Nur ul-Haq Ulumi,779084312,C
129,Afghanistan,32247000,Roqia Abubakr,779389407,Stub
130,Afghanistan,32247000,Rahila Bibi Kobra Alamshahi,779389809,Stub
131,Afghanistan,32247000,Khadija Ahrari,779839643,Stub
132,Afghanistan,32247000,Sharif Fayez,780326218,Stub
133,Afghanistan,32247000,Mohammad Asim Asim,780468605,Stub
134,Afghanistan,32247000,Mohibullah Samim,780566383,Stub
135,Afghanistan,32247000,Musa Khan Ahmadzai,780765630,Stub
136,Afghanistan,32247000,Mohammad Tamim Nuristani,780939825,Stub
137,Afghanistan,32247000,Jamaluddin Badr,780939867,Start
138,Afghanistan,32247000,Mohammed Hashim Watanwal,780940202,Start
139,Afghanistan,32247000,Munshi Abdul Majid,781002628,Start
140,Afghanistan,32247000,Mohammad Hashim Zare,781002810,Stub
141,Afghanistan,32247000,Roohul Amin,781002975,Stub
142,Afghanistan,32247000,Mohammad Akbar Barakzai,781167880,Stub
143,Afghanistan,32247000,Mohammad Bashir Qant Chah Abi,781169029,Stub
144,Afghanistan,32247000,Template:Monarchs of Afghanistan,781791356,Stub
145,Afghanistan,32247000,Abdul Hai Neamati,781990193,Stub
146,Afghanistan,32247000,Abdul Qadir Nuristani,781990452,Stub
147,Afghanistan,32247000,Baz Mohammad Ahmadi,782271549,Stub
148,Afghanistan,32247000,Ibrahim Malikzada,782271562,Stub
149,Afghanistan,32247000,Sayyed Mohammad Eqbal Munib,782271570,Stub
150,Afghanistan,32247000,Bashir Baghlani,782663330,Start
151,Afghanistan,32247000,Fazal Haq Mujahid,782845346,C
152,Afghanistan,32247000,Atiqullah Atifmal,782848556,C
153,Afghanistan,32247000,Mahboba Hoqomal,782978230,Stub
154,Afghanistan,32247000,Mohammad Shakir Kargar,783321773,Stub
155,Afghanistan,32247000,Mahbob-U-lah Koshani,783717361,Stub
156,Afghanistan,32247000,Mohammad Khan (athlete),783898506,Stub
157,Afghanistan,32247000,Samoud Khan,785150345,Start
158,Afghanistan,32247000,Salamat Azimi,785284556,Start
159,Afghanistan,32247000,Delbar Nazari,785284614,Start
160,Afghanistan,32247000,Hamidullah Niyazmand,785352771,Stub
161,Afghanistan,32247000,Mohammed Alim Razm,786830658,Stub
162,Afghanistan,32247000,Masuma Esmati-Wardak,787258680,Start
163,Afghanistan,32247000,Maryam Durani,787347770,C
164,Afghanistan,32247000,Mullah Ghani,787348558,Stub
165,Afghanistan,32247000,Nasrin Oryakhil,787352628,Start
166,Afghanistan,32247000,Abdul Ghafor Zori,787396242,Stub
167,Afghanistan,32247000,Abdul Latif Ibrahimi,787398553,Stub
168,Afghanistan,32247000,Abdul Qadir Alam,787399854,Stub
169,Afghanistan,32247000,Abdul Qadir Imami Ghori,787399889,Stub
170,Afghanistan,32247000,Abdul Rahim Ayoubi,787400308,C
171,Afghanistan,32247000,Abdur Razzaq (Taliban Interior Minister),787408432,Stub
172,Afghanistan,32247000,Abdul Rahman Pazhwak,787914131,Start
173,Afghanistan,32247000,Abdul Samad Khaksar,787914141,Start
174,Afghanistan,32247000,Rouh Gul Khairzad,788030456,Stub
175,Afghanistan,32247000,Suhaila Seddiqi,788520176,C
176,Afghanistan,32247000,Farida Momand,788591677,Start
177,Afghanistan,32247000,Suraya Dalil,788684997,Start
178,Afghanistan,32247000,Azim Khan,788851566,Stub
179,Afghanistan,32247000,Amir Muhammad Akhundzada,788882411,Start
180,Afghanistan,32247000,Ibrahim Spinzada,789234893,Start
181,Afghanistan,32247000,Mohammed Zaman,789359940,Start
182,Afghanistan,32247000,Arsala Rahmani Daulat,789787876,Start
183,Afghanistan,32247000,Assadullah Wafa,789969188,Stub
184,Afghanistan,32247000,Aziza Ahmadyar,790315322,Start
185,Afghanistan,32247000,Abdul Ahad Wardak,790711812,Start
186,Afghanistan,32247000,Naeem Baloch,791077429,Stub
187,Afghanistan,32247000,Abdul Ghafar Lakanwal,791219668,Start
188,Afghanistan,32247000,Sayed Yousuf Mirranay,791329143,C
189,Afghanistan,32247000,Habiba Sarobi,791417213,Start
190,Afghanistan,32247000,Sayed Jalal Karim,792790722,Start
191,Afghanistan,32247000,Shakiba Hashemi,792853350,Start
192,Afghanistan,32247000,Mohammad Rauf Mehdi,793152042,Stub
193,Afghanistan,32247000,Wahid Omar,793429853,Start
194,Afghanistan,32247000,Shinkai Karokhail,793950185,C
195,Afghanistan,32247000,Hashmat Ghani Ahmadzai,794028379,Start
196,Afghanistan,32247000,Abdul Sabur Farid Kohistani,794072920,Stub
197,Afghanistan,32247000,Jan Mohammad Khan,794478106,GA
198,Afghanistan,32247000,Abdul Karim Mustaghni,795022269,Stub
199,Afghanistan,32247000,Nilofar Sakhi,795223533,C
200,Afghanistan,32247000,Ali Shah Durrani,795268854,Stub
201,Afghanistan,32247000,Ayub Shah Durrani,795269744,Stub
202,Afghanistan,32247000,Mohammed Nadir Shah,795274242,C
203,Afghanistan,32247000,Mohammad Yaqub Khan,795275279,Start
204,Afghanistan,32247000,Ghulam Muhammad Tarzi,795276004,Start
205,Afghanistan,32247000,Wazir Akbar Khan,795276382,C
206,Afghanistan,32247000,Shuja Shah Durrani,795276435,Stub
207,Afghanistan,32247000,Abdul Qadir (Afghan communist),795276759,C
208,Afghanistan,32247000,Haji Mohammad Chamkani,795278213,Stub
209,Afghanistan,32247000,"List of candidates in the Afghan presidential election, 2009",795279646,GA
210,Afghanistan,32247000,Rangin Dadfar Spanta,795280443,C
211,Afghanistan,32247000,Zarar Ahmad Osmani,795280683,Start
212,Afghanistan,32247000,Mirwais Yasini,795282116,C
213,Afghanistan,32247000,Habibullah Karzai,795282600,Stub
214,Afghanistan,32247000,Azizullah Karzai,795282782,Start
215,Afghanistan,32247000,Motasim Billah Mazhabi,795283296,Start
216,Afghanistan,32247000,Wazir Arsala Khan,795283501,Stub
217,Afghanistan,32247000,Sibghatullah Mojaddedi,795285982,C
218,Afghanistan,32247000,Musahiban,795287565,Start
219,Afghanistan,32247000,Ezatullah (Nangarhar),795483379,Stub
220,Afghanistan,32247000,Qurban Ali Oruzgani,795654542,Start
221,Afghanistan,32247000,Shukria Barakzai,795919634,C
222,Afghanistan,32247000,Abdul Majid Samim,796060040,Stub
223,Afghanistan,32247000,Shah Shujah Durrani,796493730,C
224,Afghanistan,32247000,Abdul Haq (Afghan leader),796569814,GA
225,Afghanistan,32247000,Bashir Ahmad Bezan,796615232,Stub
226,Afghanistan,32247000,Muhammad Yunus Nawandish,796676748,Start
227,Afghanistan,32247000,Abdul Rahman (Afghan minister),796885432,Stub
228,Afghanistan,32247000,Abdullah Wardak,796885985,C
229,Afghanistan,32247000,Abdul Ahad Karzai,796975361,Start
230,Afghanistan,32247000,Arsala Jamal,797002885,B
231,Afghanistan,32247000,Amanullah Khan,797048177,C
232,Afghanistan,32247000,Zeenat Karzai,797072546,Start
233,Afghanistan,32247000,Ahmed Wali Karzai,797074740,GA
234,Afghanistan,32247000,Burhanuddin Rabbani,797089185,C
235,Afghanistan,32247000,Inayatullah Khan,797153892,Stub
236,Afghanistan,32247000,Nasrullah Khan (Afghanistan),797155187,GA
237,Afghanistan,32247000,Mohammad Azam Khan,797156968,Stub
238,Afghanistan,32247000,Mohammad Afzal Khan,797157277,Stub
239,Afghanistan,32247000,Ahmad Behzad,797216331,Start
240,Afghanistan,32247000,Delbar Jan Arman,797343976,Stub
241,Afghanistan,32247000,Sayed Anwar Rahmati,797570527,Stub
242,Afghanistan,32247000,Hekmat Karzai,797673897,Start
243,Afghanistan,32247000,Noorulah Delwari,797728695,Start
244,Afghanistan,32247000,Abdul Qadir (Afghan leader),798059926,C
245,Afghanistan,32247000,List of governors of Baghlan,798792201,Start
246,Afghanistan,32247000,Malalai Shinwari,798873145,Stub
247,Afghanistan,32247000,Massoud Khalili,798923237,GA
248,Afghanistan,32247000,Mirza Muhammad Ismail,799013122,B
249,Afghanistan,32247000,Mohammad Shafiq Hamdam,799023086,C
250,Afghanistan,32247000,Mohammed Zia Salehi,799023841,Stub
251,Afghanistan,32247000,Muhammad Ali Jalali,799046878,Stub
252,Afghanistan,32247000,Muhammad Arif Sarwari,799046977,Start
253,Afghanistan,32247000,Amrullah Saleh,799215547,FA
254,Afghanistan,32247000,Mohammad Nazar Faqiri (Baghlan 1955),799467889,Stub
255,Afghanistan,32247000,Robina Muqimyar,799980094,C
256,Afghanistan,32247000,Said Tayeb Jawad,800049528,C
257,Afghanistan,32247000,Salahuddin Rabbani,800053449,C
258,Afghanistan,32247000,Shah Waliullah Adeeb,800127655,Start
259,Afghanistan,32247000,Shahla Ata,800128121,Start
260,Afghanistan,32247000,Shakila (Kabul),800129584,Stub
261,Afghanistan,32247000,Sitara Achakzai,800175991,Start
262,Afghanistan,32247000,First Lady of Afghanistan,800356996,Start
263,Afghanistan,32247000,Abdul Jabbar Taqwa,800455166,Stub
264,Afghanistan,32247000,Humayun Azizi,800555876,Start
265,Afghanistan,32247000,Abdullah Habibi,801207685,Start
266,Afghanistan,32247000,Ziauddin (Afghan militia leader),801335999,Start
267,Afghanistan,32247000,Sher Ali Khan,801436815,Start
268,Afghanistan,32247000,Sharif Ghalib,801469201,B
269,Afghanistan,32247000,Aimal Faizi,801589377,Stub
270,Afghanistan,32247000,Soraya Tarzi,801632337,C
271,Afghanistan,32247000,Ali Mohammad,801927558,Stub
272,Afghanistan,32247000,Abdul Jabbar Naeemi,801936110,Stub
273,Afghanistan,32247000,Rahmatullah Nabil,801936928,Start
274,Afghanistan,32247000,Shah Gul Rezai,802280148,Stub
275,Afghanistan,32247000,Seema Jowenda,802286319,Start
276,Afghanistan,32247000,Mohammad Mohaqiq,802320704,Start
277,Afghanistan,32247000,Ramazan Bashardost,802320895,C
278,Afghanistan,32247000,Ezatullah Mujahid,802515929,Stub
279,Afghanistan,32247000,Mir Akbar Khyber,802550537,Start
280,Afghanistan,32247000,Anahita Ratebzad,802551672,C
281,Afghanistan,32247000,Presidency of Hamid Karzai,802697878,B
282,Afghanistan,32247000,Fareeda Kuchi Balkhi,802764676,Start
283,Afghanistan,32247000,Wahidullah Waissi,802795569,GA
284,Afghanistan,32247000,Fauzia Gailani,802860970,Start
285,Afghanistan,32247000,Laghman Province,803055503,GA
286,Afghanistan,32247000,Mullah Mohammad Hasan,803686558,Stub
287,Afghanistan,32247000,Mohammad Najibullah,803705974,B
288,Afghanistan,32247000,Abdul Rahim Hatif,803706243,Stub
289,Afghanistan,32247000,Abdul Rashid Dostum,803775914,C
290,Afghanistan,32247000,Abdur Rahman Khan,803792380,C
291,Afghanistan,32247000,Azra Jafari,803841397,C
292,Afghanistan,32247000,Ahmad Shah Massoud,803983131,GA
293,Afghanistan,32247000,Zalmai Wesa,804091843,Stub
294,Afghanistan,32247000,Baran Khan Kudezai,804099373,Start
295,Afghanistan,32247000,Babrak Karmal,804299877,GA
296,Afghanistan,32247000,Frozan Fana,804349394,Start
297,Afghanistan,32247000,Qari Ahmadullah,804577359,Stub
298,Afghanistan,32247000,Mohammed Daoud Khan,804938633,C
299,Afghanistan,32247000,Abdul Salam Zaeef,805226789,C
300,Afghanistan,32247000,Fazlullah Wahidi,805345658,Start
301,Afghanistan,32247000,Gholam Rabani Nasher,805454844,Stub
302,Afghanistan,32247000,Ghulam Haider Hamidi,805473052,Start
303,Afghanistan,32247000,Ghulam Hassan Safi,805473670,Stub
304,Afghanistan,32247000,Mohammed Zahir Shah,805772298,GA
305,Afghanistan,32247000,Nur Muhammad Taraki,805821343,GA
306,Afghanistan,32247000,Malalai Joya,805920528,GA
307,Afghanistan,32247000,Mahmud Shah Durrani,805922525,Start
308,Afghanistan,32247000,Durrani dynasty,805924089,GA
309,Afghanistan,32247000,Habibull?h Kalak?ni,805957551,C
310,Afghanistan,32247000,Mohammed Omar,806029147,GA
311,Afghanistan,32247000,Hafizullah Amin,806216425,GA
312,Afghanistan,32247000,Barakzai dynasty,806407981,C
313,Afghanistan,32247000,Ismail Balkhi,806409054,Start
314,Afghanistan,32247000,Abdullah Abdullah,806496321,C
315,Afghanistan,32247000,Dost Mohammad Khan (Emir of Afghanistan),806499548,C
316,Afghanistan,32247000,List of heads of state of Afghanistan,806607200,C
317,Afghanistan,32247000,Fawzia Koofi,806916131,GA
318,Afghanistan,32247000,Farkhunda Zahra Naderi,806994231,C
319,Afghanistan,32247000,Gul Ahmmad Yama,806996844,Start
320,Afghanistan,32247000,Hamid Karzai,807045523,GA
321,Afghanistan,32247000,Mohammad Khaksar,807280653,Stub
322,Afghanistan,32247000,Ayub Khan (Emir of Afghanistan),807356026,Start
323,Afghanistan,32247000,Habibullah Khan,807390748,Start
324,Afghanistan,32247000,Ashraf Ghani,807405698,C
325,Afghanistan,32247000,Qadria Yazdanparast,807414229,Start
326,Afghanistan,32247000,Hafizullah Shabaz Khail,807426425,Start
327,Albania,2892000,Template:Albania-politician-stub,394581557,Stub
328,Albania,2892000,Template:Albania-mayor-stub,443634517,Stub
329,Albania,2892000,Template:Albania-diplomat-stub,540997313,Stub
330,Albania,2892000,Luiza Xhuvani,644399375,Stub
331,Albania,2892000,Josif Pashko,692123101,Stub
332,Albania,2892000,Fiqirete Shehu,699674395,Stub
333,Albania,2892000,Chatin Sarachi,710180996,C
334,Albania,2892000,Arjan Zaimi,712006120,Stub
335,Albania,2892000,Bashkim Dedja,715045524,Stub
336,Albania,2892000,Abdurraman Dibra,715550103,Stub
337,Albania,2892000,Paskal Milo,718037112,Stub
338,Albania,2892000,Servet Pëllumbi,718570312,Stub
339,Albania,2892000,High Council of Regency,718627283,Stub
340,Albania,2892000,Artur Kuko,719871255,Stub
341,Albania,2892000,Ali Aliu,722858228,Start
342,Albania,2892000,Feçor Shehu,723561468,Start
343,Albania,2892000,Alfred Peza,724379743,Stub
344,Albania,2892000,Ylli Asllani,724621036,Stub
345,Albania,2892000,Hysen Osmanaj,736756585,Stub
346,Albania,2892000,List of Albanian politicians,738972939,Stub
347,Albania,2892000,Xhezair Zaganjori,739159083,Start
348,Albania,2892000,Ferdinand Poni,741807048,Stub
349,Albania,2892000,Nexhat Agolli,742544909,Stub
350,Albania,2892000,Behar Shtylla,744274019,Stub
351,Albania,2892000,Refo Çapari,745786836,Stub
352,Albania,2892000,Sotir Kolea,745805099,Start
353,Albania,2892000,Niazi Demi,746687347,Stub
354,Albania,2892000,Nafiz Bezhani,747064542,Stub
355,Albania,2892000,Ali Alizoti,747407704,Stub
356,Albania,2892000,Javer Hurshiti,747538155,Start
357,Albania,2892000,Mehmed Kalakula,747588457,Stub
358,Albania,2892000,Mehmet Tahsini,747588488,Stub
359,Albania,2892000,Pertef Pogoni,747612892,Stub
360,Albania,2892000,Sabit Lulo,747637065,Stub
361,Albania,2892000,Sokrat Dodbiba,747887240,Start
362,Albania,2892000,Ismail Lleshi,748847385,Stub
363,Albania,2892000,Olsi Baze,749473060,Stub
364,Albania,2892000,Sulejman Vokshi,749828657,Start
365,Albania,2892000,Ahmet Koronica,749829018,Start
366,Albania,2892000,Avni Klinaku,750544980,Stub
367,Albania,2892000,Kolë Tromara,750637295,Start
368,Albania,2892000,Thoma Deliana,750648438,Start
369,Albania,2892000,Sali Nivica,751070415,Start
370,Albania,2892000,Gëzim Boçari,751432945,Stub
371,Albania,2892000,Bajram Kelmendi,752913381,Start
372,Albania,2892000,Njazi Kosovrasti,755145396,Stub
373,Albania,2892000,Teodor Heba,755220895,Stub
374,Albania,2892000,Adrian Kollozi,756676145,Stub
375,Albania,2892000,Ardian Turku,756676189,Stub
376,Albania,2892000,Aurel Bylykbashi,756676226,Stub
377,Albania,2892000,Bedri Hoxha,756676244,Stub
378,Albania,2892000,Besnik Dushaj,756676271,Stub
379,Albania,2892000,Dashnor Sula,756676294,Stub
380,Albania,2892000,Edi Paloka,756676301,Stub
381,Albania,2892000,Edmond Spaho,756676308,Stub
382,Albania,2892000,Ferdinand Xhaferraj,756676344,Stub
383,Albania,2892000,Ilir Gjoni,756676440,Start
384,Albania,2892000,Kosta Barka,756676475,Stub
385,Albania,2892000,Kreshnik Çipi,756676478,Stub
386,Albania,2892000,Mehmet Xheka,756676543,Stub
387,Albania,2892000,Namik Dokle,756676568,Stub
388,Albania,2892000,Ndriçim Babasi,756676581,Stub
389,Albania,2892000,Ndue Paluca,756676595,Stub
390,Albania,2892000,Osman Metalla,756676597,Stub
391,Albania,2892000,Paulin Sterkaj,756676607,Stub
392,Albania,2892000,Ramiz Çobaj,756676653,Stub
393,Albania,2892000,Rajmond Hoxha,756676669,Stub
394,Albania,2892000,Selami Xhepa,756676688,Stub
395,Albania,2892000,Sherefedin Shehu,756676691,Stub
396,Albania,2892000,Sokol Olldashi,756676704,Stub
397,Albania,2892000,Spiro Ksera,756676720,Stub
398,Albania,2892000,Sybi Hida,756676726,Stub
399,Albania,2892000,Tritan Shehu,756676740,Stub
400,Albania,2892000,Vangjel Dule,756676745,Stub
401,Albania,2892000,Vangjel Tavo,756676752,Stub
402,Albania,2892000,Vasillaq Ngresi,756676759,Stub
403,Albania,2892000,Viktor Gumi,756676762,Stub
404,Albania,2892000,Ylli Lama,756676764,Stub
405,Albania,2892000,Mustafa Bëssj Ndroqi,756880750,Stub
406,Albania,2892000,Fatbardh Kadilli,757341340,Stub
407,Albania,2892000,Fatos Beja,757354231,Stub
408,Albania,2892000,Fatos Hoxha,757354413,Stub
409,Albania,2892000,Abdullah Pashe Taushani,757544660,Stub
410,Albania,2892000,Florjon Mima,757856073,Stub
411,Albania,2892000,Teodor Laço,758633802,Start
412,Albania,2892000,Gjergji Papa,759665466,Stub
413,Albania,2892000,Gjok Uldedaj,759665935,Stub
414,Albania,2892000,Pirro Kondi,761708375,Start
415,Albania,2892000,Spiridon Kacarosi,761911357,Stub
416,Albania,2892000,Fuat Dibra,762110105,Start
417,Albania,2892000,Kastriot Islami,762839278,Start
418,Albania,2892000,Fadil Paçrami,763038683,Stub
419,Albania,2892000,Isuf Vrioni,763731518,Start
420,Albania,2892000,Alfred Karamuço,764504709,Stub
421,Albania,2892000,Sokol Gjoka,764651177,Stub
422,Albania,2892000,Maksim Cikuli,764898690,Stub
423,Albania,2892000,Bujar Dida,765106664,C
424,Albania,2892000,Sabri Godo,765323312,C
425,Albania,2892000,Shaqir Vukaj,766126315,Stub
426,Albania,2892000,Mark Marku,766126905,Start
427,Albania,2892000,Myslim Peza,766524458,Stub
428,Albania,2892000,Gazmend Oketa,767275757,Stub
429,Albania,2892000,Haxhi Lleshi,769689871,Start
430,Albania,2892000,Maliq Bushati,770031114,Stub
431,Albania,2892000,Eqrem Libohova,770031699,Start
432,Albania,2892000,Bashkim Fino,770033843,Stub
433,Albania,2892000,Ilir Beqaj,770035856,Stub
434,Albania,2892000,Kreshnik Spahiu,771170645,Stub
435,Albania,2892000,Safet Zhulali,773016530,Stub
436,Albania,2892000,Hysni Milloshi,774277095,Start
437,Albania,2892000,Beqir Balluku,774502969,C
438,Albania,2892000,Ilir Bano,774573300,Stub
439,Albania,2892000,Ilir Rusmali,774573397,Stub
440,Albania,2892000,Ismail Hoxha,775523322,Stub
441,Albania,2892000,Ali Këlcyra,775992309,Start
442,Albania,2892000,Jemin Gjana,776452586,Stub
443,Albania,2892000,Teodor Keko,776842295,C
444,Albania,2892000,Hajdar Muneka,776997584,Stub
